occID,occ_nm,occ_ctg,occ_grp
111,CHESS PLAYER,"Science, literature, and art","Arts, entertainment, sports"
112,CHILD MAID,"Private activity and service; servants, day laborers",Estate and household labor
113,CHIMNEY SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction
114,CIGAR MAKER,Tobacco and tobacco products,Production of food and drink
115,CIGAR TWISTER,Tobacco and tobacco products,Production of food and drink
116,CIVIL SERVICE,"Administration, courts and police",Government
117,"CLERGYMAN, REVEREND",Ministry in other Christian faiths,Faith-related
118,CLERK,"Administration, courts and police",Government
119,CLICKER,Garment making,"Leather, textiles, garments"
120,CLOCK MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
121,CLOCK MERCHANT,Trade in household articles,Trade and commerce
122,CLOG AND BUTTON MAKER,Garment making,"Leather, textiles, garments"
123,CLOGMAKER,Garment making,"Leather, textiles, garments"
124,CLOTH MAKER/MANUFACTURER,Garment making,"Leather, textiles, garments"
125,CLOTH WORKER,Garment making,"Leather, textiles, garments"
126,CLOTHIER,Garment making,"Leather, textiles, garments"
127,CMHT,Undetermined,NA
128,COACH MAKER/BUILDER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
129,COACHMAN,Other overland transport and means of transport,Transportation and communication
130,"COAL DEALER, COAL MERCHANT",Trade in construction materials and fuels,Trade and commerce
131,"COALMAN, COAL BURNER",Trade in construction materials and fuels,Trade and commerce
132,COBBLER,Garment making,"Leather, textiles, garments"
133,COFFIN MAKER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
134,COLLECTOR,Credit and public commercial institutions,Trade and commerce
135,COLLIER,Mining and quarrying,Manufacturing and mining
136,COLONIST,"Administration, courts and police",Government
137,COLOR MAKER,Processing of fibrous materials,"Leather, textiles, garments"
138,COMEDIAN,"Science, literature, and art","Arts, entertainment, sports"
139,COMMERCE MAN,Trade overall,Trade and commerce
140,COMMERCIAL TRAVELLER,Undetermined,NA
141,COMMISSION AGENT,Commercial brokerage services,Trade and commerce
142,COMMISSIONER,"Administration, courts and police",Government
143,COMMODORE,Water transport,Transportation and communication
144,COMPOSER,"Science, literature, and art","Arts, entertainment, sports"
145,COMPOSITOR,Printing,Printing and journalism
146,"CONDUCTOR, CHORUS MASTER","Science, literature, and art","Arts, entertainment, sports"
147,CONFECTIONER,Processing of plant and animal food products,Production of food and drink
148,CONSUL,"Administration, courts and police",Government
149,CONSULTANT,Commercial brokerage services,Trade and commerce
150,COOK,"Private activity and service; servants, day laborers",Estate and household labor
151,COOK MAID,"Private activity and service; servants, day laborers",Estate and household labor
152,COOK-BAKER,"Private activity and service; servants, day laborers",Estate and household labor
153,COOPER,Processing of wood,Manufacturing and mining
154,COPPERSMITH,Processing of metals,Manufacturing and mining
155,CORK CUTTER,Processing of wood,Manufacturing and mining
156,COUCH LACE MAKER,Processing of fibrous materials,"Leather, textiles, garments"
157,COUCH MAKER,Processing of wood,Manufacturing and mining
158,COUNTRY WOMAN,Agriculture,Agriculture
159,COW FEEDER,Livestock farming,Agriculture
160,CULTIVATOR,Agriculture,Agriculture
161,CURRIER,Processing of animal products,"Leather, textiles, garments"
162,CUTLER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
163,CUTTER,Manufacture not included in above or undetermined,Manufacturing and mining
164,DAIRY MAN/WOMAN,Processing of plant and animal food products,Production of food and drink
165,DAIRYMAID,Processing of plant and animal food products,Production of food and drink
166,DANCER,"Science, literature, and art","Arts, entertainment, sports"
167,DEALER,Trade overall,Trade and commerce
168,DECORATOR,"Construction, repair and maintenance of residences and general construction work",Construction
169,DELEGATE,"Administration, courts and police",Government
170,DELIVERY MAN,Carrier trade,Transportation and communication
171,DENTIST,Medical and health services,Service and hospitality
172,DESIGNER,Undetermined,Service and hospitality
173,DIAMOND CUTTER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining
174,DIGGER,"Construction, repair and maintenance of residences and general construction work",Construction
175,DIPLOMAT,"Administration, courts and police",Government
176,DIRECTOR,"Science, literature, and art","Arts, entertainment, sports"
177,DISH MAKER,Processing of metals,Manufacturing and mining
178,"DISTILLER, LIQUOR MAKER","Distilling, brewing and honey fermenting",Production of food and drink
179,DOCTOR,Medical and health services,Service and hospitality
180,DOCTOR OF MEDICINE,Medical and health services,Service and hospitality
181,DOMESTIC,"Private activity and service; servants, day laborers",Estate and household labor
182,DRAFTSMAN,Undetermined,NA
183,DRAPER,Trade in fabrics and garments,Trade and commerce
184,"DRESSER, STEAMDRESSER","Private activity and service; servants, day laborers",Estate and household labor
185,DRESSMAKER,Garment making,"Leather, textiles, garments"
186,DRILLER,Extraction of oil,Manufacturing and mining
187,DRIVER,Other overland transport and means of transport,Transportation and communication
188,DROVER,Other overland transport and means of transport,Transportation and communication
189,DRUGGIST,Medical and health services,Service and hospitality
190,DRUMMER,"Science, literature, and art","Arts, entertainment, sports"
191,DRY GOODS,Trade in other articles,Trade and commerce
192,DYE SINKER,Processing of fibrous materials,"Leather, textiles, garments"
193,DYER,Processing of fibrous materials,"Leather, textiles, garments"
194,ECONOMIST,"Science, literature, and art","Education, sciences"
195,EDITOR,"Science, literature, and art",Printing and journalism
196,ELECTRICIAN,"Construction, repair and maintenance of residences and general construction work",Construction
197,EMBROIDERER,Processing of fibrous materials,"Leather, textiles, garments"
198,EMPLOYEE,Undetermined,NA
199,ENGINE DRIVER,Railroads,Transportation and communication
200,ENGINE FITTER,Railroads,Transportation and communication
201,ENGINE MAN,Railroads,Transportation and communication
202,ENGINEER,Railroads,Transportation and communication
203,ENGRAVER,Printing,Printing and journalism
204,EQUESTRIAN,"Science, literature, and art","Arts, entertainment, sports"
205,FABRICANT,Processing of metals,Manufacturing and mining
206,FACTOR,Commercial brokerage services,Trade and commerce
207,FANNER,Processing of plant and animal food products,Production of food and drink
208,FARM HAND,Agriculture,Agriculture
209,"FARM LABORER, FARMBOY",Agriculture,Agriculture
210,FARMER,Agriculture,Agriculture
211,FARRIER,Livestock farming,Agriculture
212,FEATHER MAKER,Processing of animal products,"Leather, textiles, garments"
213,FELLMONGER,"Trade in leather, fur, etc.",Trade and commerce
214,FELT MAKER,Processing of animal products,"Leather, textiles, garments"
215,FILE CUTTER,Processing of metals,Manufacturing and mining
216,FILE SMITH,Processing of metals,Manufacturing and mining
217,FILER,Processing of metals,Manufacturing and mining
218,FINISHER,Processing of metals,Manufacturing and mining
219,FINSMITH,Fishing and hunting,Agriculture
220,FIREMAN,"Administration, courts and police",Government
221,FISH MONGER,Trade in other agricultural products,Trade and commerce
222,FISHERMAN,Fishing and hunting,Agriculture
223,FITTER,Processing of wood,Manufacturing and mining
224,FLAX DRESSER,Processing of fibrous materials,"Leather, textiles, garments"
225,FLESHER,Processing of plant and animal food products,Production of food and drink
226,FLOCK MAKER,Livestock farming,Agriculture
227,FLORIST,Trade in other agricultural products,Trade and commerce
228,FLOWER MAKER,Garment making,"Leather, textiles, garments"
229,FOREMAN,Manufacture not included in above or undetermined,Manufacturing and mining
230,FORESTER,"Forestry, forest industries",Agriculture
231,FORGE MAN,Processing of metals,Manufacturing and mining
232,FOUNDER/FOUNDRYMAN,Smelting of metals,Manufacturing and mining
233,FRAME MAKER,Processing of wood,Manufacturing and mining
234,FRAME WORKER,Processing of wood,Manufacturing and mining
235,FRIAR,Ministry in other Christian faiths,Faith-related
236,FRUIT GROWER,Agriculture,Agriculture
237,FULLER,Processing of animal products,"Leather, textiles, garments"
238,FUR DRESSER,Processing of animal products,"Leather, textiles, garments"
239,FUR DYER,Processing of animal products,"Leather, textiles, garments"
240,FUR SKIN DRESSER,Processing of animal products,"Leather, textiles, garments"
241,FURNISHER,Processing of wood,Manufacturing and mining
242,FURNITURE MAKER,Processing of wood,Manufacturing and mining
243,FURRIER,"Trade in leather, fur, etc.",Trade and commerce
244,GALVANIZER,Processing of metals,Manufacturing and mining
245,"GARDENER, GROWER",Agriculture,Agriculture
246,GAS MAN,Manufacture not included in above or undetermined,Manufacturing and mining
247,GASFITTER,Manufacture not included in above or undetermined,Manufacturing and mining
248,GENERAL,Armed forces,Government
249,GENTLEMAN,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
250,GEOLOGIST,"Science, literature, and art","Education, sciences"
251,GILDER,Printing,Printing and journalism
252,GINGER MAKER,Processing of plant and animal food products,Production of food and drink
253,GIRDLER,Processing of animal products,"Leather, textiles, garments"
254,GLASS BLOWER,Processing of mineral substances (ceramics),Manufacturing and mining
255,GLASS CUTTER,Processing of mineral substances (ceramics),Manufacturing and mining
256,GLASS GRINDER,Processing of mineral substances (ceramics),Manufacturing and mining
257,GLASS MAKER/MANUFACTURER,Processing of mineral substances (ceramics),Manufacturing and mining
258,GLASS WORKER,Processing of mineral substances (ceramics),Manufacturing and mining
259,GLAZIER,Processing of mineral substances (ceramics),Manufacturing and mining
260,GLOVE MAKER,Garment making,"Leather, textiles, garments"
261,GLOVER,Garment making,"Leather, textiles, garments"
262,GLUE MAKER,Processing of animal products,Manufacturing and mining
263,GOLDBEATER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining
264,GOLDSMITH,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining
265,GOLDWORKER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining
266,"GOVERNESS, GOVERNER","Private activity and service; servants, day laborers",Estate and household labor
267,GOVERNMENT OFFICER,"Administration, courts and police",Government
268,GOVERNMENT SERVICE,"Administration, courts and police",Government
269,GRAINER,Processing of wood,Manufacturing and mining
270,GRATE MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
271,GRAVER,"Construction, repair and maintenance of residences and general construction work",Construction
272,GRINDER,Processing of mineral substances (ceramics),Manufacturing and mining
273,GROCER,Trade in other agricultural products,Trade and commerce
274,GROOM,Livestock farming,Agriculture
275,GUN MAKER,Processing of metals,Manufacturing and mining
276,GYMNAST,"Science, literature, and art","Arts, entertainment, sports"
277,GYPSER,"Cement industry, manufacture of artificial stone",Manufacturing and mining
278,HABERDASHER,Garment making,"Leather, textiles, garments"
279,HACKER,Processing of wood,Manufacturing and mining
280,HAINES MAKER,Undetermined,NA
281,HAIR CUTTER,Establishments providing bathing and personal hygiene services,Service and hospitality
282,HAIR DRESSER,Establishments providing bathing and personal hygiene services,Service and hospitality
283,HAKPR,Undetermined,NA
284,HAMMER MAN,Processing of metals,Manufacturing and mining
285,HANDYMAN,"Private activity and service; servants, day laborers",Estate and household labor
286,HARNESS BAKER,Processing of animal products,Manufacturing and mining
287,"HARNESS MAKER, BRIDLE CUTTER",Processing of animal products,Manufacturing and mining
288,HAT MAKER/MANUFACTURER,Garment making,"Leather, textiles, garments"
289,HATDRESSER,Garment making,"Leather, textiles, garments"
290,HATTER,Garment making,"Leather, textiles, garments"
291,HAWKER,"Peddling, street hawking",Trade and commerce
292,HEATOR,"Construction, repair and maintenance of residences and general construction work",Construction
293,HELPER,Undetermined,NA
294,"HERDSMAN, HERDER",Livestock farming,Agriculture
295,HOE MAKER,Processing of metals,Manufacturing and mining
296,HORSE DEALER,Trade in livestock,Trade and commerce
297,HORSE KEEPER,Livestock farming,Agriculture
298,HORSEMAN,Livestock farming,Agriculture
299,HOSIER,Processing of fibrous materials,"Leather, textiles, garments"
300,HOSTLER,Livestock farming,Agriculture
301,HOTEL KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality
302,HOUSE CARPENTER,"Construction, repair and maintenance of residences and general construction work",Construction
303,HOUSE MAID,"Private activity and service; servants, day laborers",Estate and household labor
304,HOUSE PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction
305,HOUSE STEWARD,"Private activity and service; servants, day laborers",Estate and household labor
306,HOUSE WOMAN,"Private activity and service; servants, day laborers",Estate and household labor
307,HOUSEKEEPER,"Private activity and service; servants, day laborers",Estate and household labor
308,HUNTER,Fishing and hunting,Agriculture
309,IMPORTER,Trade overall,Trade and commerce
310,INDEPENDENT,Undetermined,NA
311,INN KEEPER,"Inns, hotels, rooming houses and clubs",Service and hospitality
312,INSPECTOR,"Public (rural, urban) and estates service",Government
313,INSTRUMENT MAKER/MANUFACTURER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
314,INSURANCE AGENT,Credit and public commercial institutions,Trade and commerce
315,INTERPRETER,Undetermined,Service and hospitality
316,IRON FOUNDER,Processing of metals,Manufacturing and mining
317,IRON MAKER,Processing of metals,Manufacturing and mining
318,IRON MERCHANT,Processing of metals,Manufacturing and mining
319,IRON MONGER,Processing of metals,Manufacturing and mining
320,IRON MOULDER,Processing of metals,Manufacturing and mining
321,IRON WORKER,Processing of metals,Manufacturing and mining
322,IRONER,Establishments providing bathing and personal hygiene services,Service and hospitality
323,JAILER,"Administration, courts and police",Government
324,JANITOR,"Private activity and service; servants, day laborers",Estate and household labor
325,JEWELER,"Jewelry making, painting, manufacture of cultural, luxury items, etc.",Manufacturing and mining
326,JNT,Undetermined,NA
327,"JOBBER, JOBBER SMITH",Trade overall,Trade and commerce
328,JOCKEY,"Inns, hotels, rooming houses and clubs","Arts, entertainment, sports"
329,JOINER,Processing of wood,Manufacturing and mining
330,JOSS PAPER MAKER,Production of chemicals and related production,Manufacturing and mining
331,JOURNALIST,"Science, literature, and art",Printing and journalism
332,JOURNEYMAN,Manufacture not included in above or undetermined,Manufacturing and mining
333,JUDGE,"Administration, courts and police",Government
334,JUGGLER,"Inns, hotels, rooming houses and clubs","Arts, entertainment, sports"
335,KEEPER,"Private activity and service; servants, day laborers",Estate and household labor
336,KENNELMAN,Livestock farming,Agriculture
337,KEY MAKER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
338,KITCHEN MAID,"Private activity and service; servants, day laborers",Estate and household labor
339,KNIFESMITH,Processing of metals,Manufacturing and mining
340,KNITTING MILL WORKER,Processing of fibrous materials,"Leather, textiles, garments"
341,LAB,"Private activity and service; servants, day laborers",Estate and household labor
342,LABORER,"Private activity and service; servants, day laborers",Estate and household labor
343,LACE MAKER,Processing of fibrous materials,"Leather, textiles, garments"
344,LADY,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
345,LADY'S MAID,"Private activity and service; servants, day laborers",Estate and household labor
346,LAMP LIGHTER,"Public (rural, urban) and estates service",Government
347,LAMP MAKER,Processing of metals,Manufacturing and mining
348,"LAND OWNER, LAND PROPRIETER","Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
349,LAND SERVANT,"Private activity and service; servants, day laborers",Estate and household labor
350,LANDLORD,"Subsisting on income from capital, real estate or funds from parents and relatives",No occupation
351,LAPPER,Processing of fibrous materials,"Leather, textiles, garments"
352,LAST MAKER,Garment making,"Leather, textiles, garments"
353,"LAUNDRYMAID, LAUNDRY WOMAN",Establishments providing bathing and personal hygiene services,Service and hospitality
354,LAWYER,Private legal services,Service and hospitality
355,LEATHER CUTTER,Processing of animal products,"Leather, textiles, garments"
356,LEATHER DEALER,"Trade in leather, fur, etc.",Trade and commerce
357,LEATHER DRESSER,Processing of animal products,"Leather, textiles, garments"
358,LEATHER MANUFACTURER,Processing of animal products,"Leather, textiles, garments"
359,"LENDER, BACKER",Credit and public commercial institutions,Trade and commerce
360,LETTER CUTTER,Printing,Printing and journalism
361,LINEN MAKER/MANUFACTURER,Processing of fibrous materials,"Leather, textiles, garments"
362,LINEN MERCHANT,Trade in other agricultural products,Trade and commerce
363,LINEN WORKER,Processing of fibrous materials,"Leather, textiles, garments"
364,LITHOGRAPHER,Printing,Printing and journalism
365,LOCKSMITH,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
366,MACHINE MAKER,Processing of metals,Manufacturing and mining
367,MACHINIST TAILOR,Processing of fibrous materials,"Leather, textiles, garments"
368,"MACHINIST, MACHINE OPERATOR",Processing of metals,Manufacturing and mining
369,MAID SERVANT,"Private activity and service; servants, day laborers",Estate and household labor
370,MALTSTER,Other beverages and fermented substances,Production of food and drink
371,MANAGER,"Administration, courts and police",Government
372,MANGLER,Processing of animal products,"Leather, textiles, garments"
373,MANSERVANT,"Private activity and service; servants, day laborers",Estate and household labor
374,MANTLE MAKER,Garment making,"Leather, textiles, garments"
375,MANUFACTURER,Manufacture not included in above or undetermined,Manufacturing and mining
376,MARBLE MERCHANT,Trade in construction materials and fuels,Trade and commerce
377,MARBLE WORKER,"Construction, repair and maintenance of residences and general construction work",Construction
378,"MARINER, MARINE",Water transport,Transportation and communication
379,MARRIER,Undetermined,NA
380,MASON,"Construction, repair and maintenance of residences and general construction work",Construction
381,MASTER,Manufacture not included in above or undetermined,Manufacturing and mining
382,MATCHMAKER,Production of chemicals and related production,Manufacturing and mining
383,MATRON,Medical and health services,Service and hospitality
384,"MATTRESS MAKER, MATMAKER",Manufacture not included in above or undetermined,Manufacturing and mining
385,MAYOR,"Administration, courts and police",Government
386,MCHR,Undetermined,NA
387,MEALER,Agriculture,Agriculture
388,MECHANIC,Manufacture not included in above or undetermined,Manufacturing and mining
389,MEDICAL STUDENT,Medical and health services,Service and hospitality
390,MERCHANT,Trade overall,Trade and commerce
391,METAL MOLDER,Processing of metals,Manufacturing and mining
392,METAL WORKER,Processing of metals,Manufacturing and mining
393,MIDWIFE,Medical and health services,Service and hospitality
394,MILITARY,Armed forces,Government
395,MILK MAN / WOMAN,Livestock farming,Agriculture
396,MILL HAND,Processing of plant and animal food products,Production of food and drink
397,MILL WORKER,Processing of plant and animal food products,Production of food and drink
398,MILLER,Processing of plant and animal food products,Production of food and drink
399,MILLINER,Trade in fabrics and garments,Trade and commerce
400,MILLWRIGHT,Manufacture not included in above or undetermined,Manufacturing and mining
401,MINER,Mining and quarrying,Manufacturing and mining
402,MINISTER,Ministry in other Christian faiths,Faith-related
403,MISSIONARY,"Officials at churches, mosques, synagogues, prayer houses, cemetaries, etc., their servants and caretakers",Faith-related
404,MODEL BUILDER/MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
405,MONK,Ministry in other Christian faiths,Faith-related
406,MOULDER,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
407,MUSIC MASTER,"Science, literature, and art","Arts, entertainment, sports"
408,MUSICIAN,"Science, literature, and art","Arts, entertainment, sports"
409,NAILER,Processing of metals,Manufacturing and mining
410,NAILSMITH,Processing of metals,Manufacturing and mining
411,NATURALIST,"Science, literature, and art","Education, sciences"
412,NAVY,Armed forces,Government
413,NEEDLE MAKER/MANUFACTURER,Processing of metals,Manufacturing and mining
414,NEWSPAPER MAN,"Science, literature, and art",Printing and journalism
415,NEWSPAPER REPORTER,"Science, literature, and art",Printing and journalism
416,NOBLEMAN,Member of privileged class,No occupation
417,NONE,Unemployeed,No occupation
418,NOTARY PUBLIC,"Administration, courts and police",Government
419,"NURSE, SICK NURSE",Medical and health services,Service and hospitality
420,OFFICER,Armed forces,Government
421,OPERA SINGER,"Science, literature, and art","Arts, entertainment, sports"
422,OPERATIVE,Manufacture not included in above or undetermined,Manufacturing and mining
423,OPTICIAN,"Manufacture of instruments (physical, optical, surgical), watches, toys",Manufacturing and mining
424,ORGAN BUILDER/MAKER,"Science, literature, and art","Arts, entertainment, sports"
425,ORGANIST,"Science, literature, and art","Arts, entertainment, sports"
426,OUTFITTER,Trade in fabrics and garments,Trade and commerce
427,PACKER,Undetermined,NA
428,PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction
429,PAINTER AND GILDER,Printing,Printing and journalism
430,PAPER HANGER,"Construction, repair and maintenance of residences and general construction work",Construction
431,PAPER MAKER/MANUFACTURER,Production of chemicals and related production,Manufacturing and mining
432,PARTNER,Undetermined,NA
433,PASTOR,Ministry in other Christian faiths,Faith-related
434,PATTERN MAKER,Garment making,"Leather, textiles, garments"
435,PAVER,"Construction, repair and maintenance of residences and general construction work",Construction
436,PAWN BROKER,Commercial brokerage services,Trade and commerce
437,PEASANT,Agriculture,Agriculture
438,PEDDLER,Trade overall,Trade and commerce
439,PENSIONER,"Subsisting at expense of public treasury, social institutions and private individuals",No occupation
440,PERFUMER,Production of chemicals and related production,Manufacturing and mining
441,PHARMACIST,Medical and health services,Service and hospitality
442,PHILOSOPHER,"Science, literature, and art","Education, sciences"
443,PHOTOGRAPHER,Printing,Printing and journalism
444,PIANIST,"Science, literature, and art","Arts, entertainment, sports"
445,PIANO MAKER/MANUFACTURER,Manufacture of carriages and construction of wooden vessels,Manufacturing and mining
446,PIANO TUNER,"Science, literature, and art","Arts, entertainment, sports"
447,PIPE LAYER,"Construction, repair and maintenance of residences and general construction work",Construction
448,PIPE MAKER,Manufacture not included in above or undetermined,Manufacturing and mining
449,PIPER,"Science, literature, and art","Arts, entertainment, sports"
